Day,Time,RSSI at 2m (dBm),RSSI at 4m (dBm),RSSI at 5m (dBm),RSSI at 6m (dBm),RSSI at 7m (dBm),RSSI at 11m (dBm)
16,10:00 a.m.,-31,-49,-50,-56,-63,-60
16,12:00 p.m.,-36,-46,-55,-58,-58,-64
16,02:00 p.m.,-36,-46,-56,-57,-63,-66
16,05:00 p.m.,-35,-50,-52,-55,-56,-65
16,08:00 p.m.,-33,-49,-53,-52,-54,-59
16,10:00 p.m.,-33,-46,-49,-55,-63,-65
17,10:00 a.m.,-33,-52,-50,-53,-54,-64
17,12:00 p.m.,-32,-52,-52,-55,-61,-63
17,02:00 p.m.,-33,-49,-56,-56,-62,-63
17,05:00 p.m.,-32,-52,-51,-55,-55,-66
17,08:00 p.m.,-33,-51,-54,-60,-57,-64
17,10:00 p.m.,-33,-51,-51,-60,-58,-69
18,10:00 a.m.,-34,-52,-53,-54,-55,-68
18,12:00 p.m.,-35,-47,-52,-58,-62,-67
18,02:00 p.m.,-35,-51,-53,-55,-56,-68
18,05:00 p.m.,-35,-47,-49,-60,-56,-59
18,08:00 p.m.,-35,-51,-54,-53,-58,-63
18,10:00 p.m.,-32,-50,-50,-55,-59,-62
19,10:00 a.m.,-33,-46,-52,-56,-56,-59
19,12:00 p.m.,-36,-49,-56,-55,-56,-70
19,02:00 p.m.,-36,-53,-50,-54,-63,-68
19,05:00 p.m.,-36,-51,-53,-60,-60,-63
19,08:00 p.m.,-31,-50,-50,-59,-56,-67
19,10:00 p.m.,-35,-51,-53,-56,-60,-69
20,10:00 a.m.,-32,-50,-52,-57,-55,-66
20,12:00 p.m.,-32,-48,-55,-52,-54,-65
20,02:00 p.m.,-34,-50,-55,-57,-55,-67
20,05:00 p.m.,-35,-52,-52,-57,-57,-67
20,08:00 p.m.,-33,-50,-52,-53,-54,-66
20,10:00 p.m.,-32,-47,-53,-58,-56,-61
21,10:00 a.m.,-31,-52,-49,-58,-62,-64
21,12:00 p.m.,-34,-49,-54,-53,-62,-59
21,02:00 p.m.,-35,-50,-55,-59,-61,-68
21,05:00 p.m.,-32,-50,-53,-59,-60,-59
21,08:00 p.m.,-35,-46,-52,-52,-61,-60
21,10:00 p.m.,-32,-46,-52,-58,-62,-62
22,10:00 a.m.,-36,-53,-56,-61,-57,-59
22,12:00 p.m.,-31,-47,-50,-58,-63,-61
22,02:00 p.m.,-33,-53,-51,-61,-56,-70
22,05:00 p.m.,-34,-53,-55,-60,-57,-62
22,08:00 p.m.,-36,-52,-53,-56,-57,-66
22,10:00 p.m.,-33,-47,-52,-57,-62,-69
23,10:00 a.m.,-33,-47,-53,-53,-61,-65
23,12:00 p.m.,-35,-51,-51,-52,-60,-60
23,02:00 p.m.,-32,-46,-56,-54,-55,-60
23,05:00 p.m.,-33,-46,-54,-59,-60,-63
23,08:00 p.m.,-33,-53,-55,-57,-55,-62
23,10:00 p.m.,-34,-53,-49,-52,-54,-59
24,10:00 a.m.,-32,-48,-53,-58,-60,-64
24,12:00 p.m.,-31,-46,-49,-57,-59,-63
24,02:00 p.m.,-31,-51,-54,-55,-57,-60
24,05:00 p.m.,-31,-49,-49,-54,-63,-60
24,08:00 p.m.,-35,-47,-56,-59,-54,-65
24,10:00 p.m.,-36,-47,-54,-52,-60,-60
25,10:00 a.m.,-34,-46,-52,-58,-57,-63
25,12:00 p.m.,-33,-53,-50,-58,-63,-69
25,02:00 p.m.,-34,-49,-55,-58,-57,-62
25,05:00 p.m.,-34,-53,-52,-57,-55,-59
25,08:00 p.m.,-31,-48,-56,-60,-57,-66
25,10:00 p.m.,-32,-48,-54,-57,-63,-69
26,10:00 a.m.,-32,-50,-52,-56,-60,-69
26,12:00 p.m.,-36,-48,-50,-58,-57,-70
26,02:00 p.m.,-32,-50,-50,-52,-63,-68
26,05:00 p.m.,-34,-49,-54,-56,-57,-66
26,08:00 p.m.,-36,-51,-51,-57,-58,-70
26,10:00 p.m.,-35,-52,-55,-61,-63,-64
27,10:00 a.m.,-36,-47,-56,-54,-55,-69
27,12:00 p.m.,-34,-46,-53,-55,-63,-68
27,02:00 p.m.,-32,-53,-49,-60,-59,-66
27,05:00 p.m.,-36,-53,-49,-55,-54,-65
27,08:00 p.m.,-35,-46,-54,-54,-58,-69
27,10:00 p.m.,-31,-46,-52,-59,-61,-65
28,10:00 a.m.,-32,-51,-54,-61,-61,-68
28,12:00 p.m.,-33,-48,-54,-59,-54,-67
28,02:00 p.m.,-31,-46,-53,-55,-60,-64
28,05:00 p.m.,-34,-53,-51,-53,-54,-59
28,08:00 p.m.,-33,-46,-50,-61,-54,-70
28,10:00 p.m.,-35,-48,-54,-56,-54,-70
29,10:00 a.m.,-32,-49,-55,-57,-54,-65
29,12:00 p.m.,-31,-51,-49,-59,-54,-59
29,02:00 p.m.,-35,-51,-52,-53,-63,-60
29,05:00 p.m.,-31,-48,-52,-57,-56,-69
29,08:00 p.m.,-34,-49,-55,-53,-62,-68
29,10:00 p.m.,-34,-53,-51,-54,-54,-69
30,10:00 a.m.,-33,-46,-50,-59,-62,-68
30,12:00 p.m.,-34,-48,-54,-56,-56,-67
30,02:00 p.m.,-36,-53,-53,-55,-61,-66
30,05:00 p.m.,-32,-49,-51,-60,-63,-63
30,08:00 p.m.,-33,-52,-56,-55,-54,-63
30,10:00 p.m.,-35,-46,-52,-56,-56,-63
31,10:00 a.m.,-36,-49,-56,-54,-56,-68
31,12:00 p.m.,-35,-53,-56,-53,-61,-69
31,02:00 p.m.,-33,-49,-53,-54,-60,-60
31,05:00 p.m.,-33,-52,-51,-61,-60,-69
31,08:00 p.m.,-34,-49,-50,-55,-59,-66
31,10:00 p.m.,-35,-50,-55,-56,-57,-64
